epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,5385.41,0.8218,1.18485,1.17833,0.87955,0.902,0.9387,0.8546,0.55381,0.60371,1.00984,0.007426,0.007426,0.007426
106,5437.85,0.82243,1.2176,1.18581,0.85606,0.91093,0.9438,0.84912,0.54317,0.58868,1.0055,0.00740125,0.00740125,0.00740125
107,5492.76,0.80666,1.15679,1.17498,0.89594,0.87874,0.9419,0.85349,0.51984,0.61837,0.99057,0.0073765,0.0073765,0.0073765
108,5545.85,0.8155,1.18368,1.17723,0.9113,0.87857,0.94603,0.85631,0.52484,0.5945,0.99497,0.00735175,0.00735175,0.00735175
109,5598.32,0.80562,1.14687,1.17456,0.91836,0.86114,0.93845,0.84043,0.52685,0.60338,1.00726,0.007327,0.007327,0.007327
110,5652.19,0.80038,1.15374,1.17117,0.87283,0.88637,0.93877,0.84611,0.54449,0.60814,1.03131,0.00730225,0.00730225,0.00730225
111,5705.22,0.81199,1.16405,1.1832,0.89496,0.87373,0.92563,0.82746,0.54721,0.61669,1.01894,0.0072775,0.0072775,0.0072775
112,5757.4,0.79745,1.18238,1.16857,0.88756,0.87558,0.94151,0.8485,0.54293,0.61973,1.00836,0.00725275,0.00725275,0.00725275
113,5809.86,0.80511,1.15514,1.18196,0.91224,0.91769,0.95138,0.8622,0.53244,0.54577,1.00651,0.007228,0.007228,0.007228
114,5861.67,0.78778,1.13681,1.16499,0.90017,0.90055,0.94107,0.85231,0.52027,0.57277,0.99372,0.00720325,0.00720325,0.00720325
115,5914.51,0.80368,1.13177,1.16806,0.8651,0.88832,0.94165,0.84206,0.54206,0.61351,1.01042,0.0071785,0.0071785,0.0071785
116,5967.52,0.8,1.14047,1.17507,0.86021,0.89451,0.93129,0.84537,0.5245,0.57957,0.9883,0.00715375,0.00715375,0.00715375
117,6020.9,0.80458,1.14488,1.18259,0.87108,0.87834,0.94094,0.85227,0.50549,0.59646,0.98916,0.007129,0.007129,0.007129
118,6076.05,0.79005,1.13784,1.16433,0.88668,0.92109,0.95357,0.86595,0.51046,0.53481,0.9764,0.00710425,0.00710425,0.00710425
119,6129.4,0.79605,1.14771,1.16757,0.87807,0.90058,0.9448,0.85337,0.53162,0.59093,0.99326,0.0070795,0.0070795,0.0070795
120,6182.62,0.80471,1.10361,1.17912,0.92514,0.89634,0.95333,0.85964,0.52314,0.55601,0.99276,0.00705475,0.00705475,0.00705475
121,6236.8,0.78274,1.10255,1.15558,0.94404,0.89114,0.95269,0.86215,0.5101,0.53111,0.98871,0.00703,0.00703,0.00703
122,6289.89,0.77209,1.10666,1.15521,0.89615,0.89188,0.9547,0.86593,0.51762,0.56613,0.9898,0.00700525,0.00700525,0.00700525
123,6343.47,0.79116,1.11381,1.16595,0.87933,0.8919,0.94353,0.85361,0.51129,0.5888,0.97999,0.0069805,0.0069805,0.0069805
